id,word,normalized,part_of_speech,english_definition,nepali_definition,dialect,source,verified,needs_review,extraction_method
11a581fb-3221-4f9d-826a-14b21c70f455,malnu,malnu,unknown,"~ ragagnu, ~, ~",,Unknown,"Opgenort 2004, p.700",False,True,digital
fdb6921c-2b39-49a9-bdf2-0819cd0ba87a,Lit,lit,unknown,22 ~ khuccam,,Unknown,"Opgenort 2004, p.700",False,True,digital
a9daa782-0833-4c1d-98e9-c48705580dab,khuccyam,khuccyam,unknown,khuccyaIJmO adj black. N,,Unknown,"Opgenort 2004, p.700",False,True,digital
82ea4973-8aca-4b64-9ddf-20e94dc508f2,fc,fc,unknown,"!""'""'llll'\ khuccyam, fc!""'""'llll""ll khuc",,Unknown,"Opgenort 2004, p.700",False,True,digital
a3d20c31-03ca-4961-85fb-5cc65e0b2a2c,deity',deity',unknown,] n cmp the name of an evi,,Unknown,"Opgenort 2004, p.700",False,True,digital
f2bea7fc-bad3-4e32-b7aa-47226af5aa20,khuce,khuce,unknown,khuQ.n black. Nep. ~ kalo,,Unknown,"Opgenort 2004, p.700",False,True,digital
cd4769f3-6271-4e0e-8a44-f6719ae9d4a9,khuce-khuQ,khuce-khuq,unknown,[Warn. khuce 'black' +,,Unknown,"Opgenort 2004, p.700",False,True,digital
e4207ab7-8a73-4f9c-8cb0-3f4ac02542bf,Nep,nep,unknown,RcF CfT~T nikai kalo. Lit,,Unknown,"Opgenort 2004, p.700",False,True,digital
6e6487ea-70e4-4c77-8a45-21c67bdd0d6d,black,black,unknown,Nep. ~ ~ ekdamai ka,,Unknown,"Opgenort 2004, p.700",False,True,digital
0b561684-fc19-4cd5-9250-902a413b7781,khuQ,khuq,unknown,"o n syrup, su",,Unknown,"Opgenort 2004, p.700",False,True,digital
ba3bdfd0-aa0f-4cb5-b315-7d3bc606b61e,khui-khui,khui-khui,unknown,,,Unknown,"Opgenort 2004, p.700",False,True,digital
e26747d0-d28e-403b-9f96-697745300f74,fu,fu,unknown,">Ril""lff11 lagatar kisimsaga. Lit. 22 ~",,Unknown,"Opgenort 2004, p.700",False,True,digital
50cc2d4f-db92-4c6a-9dcb-e3383f8a755c,khujime,khujime,unknown,[<Warn. khus 'theft'+ femin,,Unknown,"Opgenort 2004, p.700",False,True,digital
19948db4-532c-4f1d-9a94-309e604b39e8,comI,comi,unknown,~ ffi cor strI. Lit. ~ k,,Unknown,"Opgenort 2004, p.700",False,True,digital
71206af4-e271-4d55-8702-8b31c14b0317,khujiwa,khujiwa,unknown,[<Warn. khus 'theft' +masc,,Unknown,"Opgenort 2004, p.700",False,True,digital
