id,word,normalized,part_of_speech,english_definition,nepali_definition,dialect,source,verified,needs_review,extraction_method
0d81c4fc-cb6f-4432-89cb-0787b7486391,cor,cor,unknown,~ taskar. Lit. ~ khu,,Unknown,"Opgenort 2004, p.700",False,True,digital
c940ea78-88a7-4f0b-9a47-56de2970fb3b,khula,khula,unknown,vrb n chief,,Unknown,"Opgenort 2004, p.700",False,True,digital
8131ed62-bde7-4025-b477-a0d34b949db7,mukhya,mukhya,unknown,pagagI. Cf. ripsi,,Unknown,"Opgenort 2004, p.700",False,True,digital
117d3b18-5f22-443e-b578-dd6a01be1362,khula-ripsi,khula-ripsi,unknown,[Warn. khula 'chief' + ri,,Unknown,"Opgenort 2004, p.700",False,True,digital
e12fbea5-fd9b-484c-a7ab-eab6085290bf,cmp,cmp,unknown,"chief, chieftain. Nep. ~ ~",,Unknown,"Opgenort 2004, p.700",False,True,digital
85dff5a8-a72c-428d-9cac-6378ab5e9713,khula-sari,khula-sari,unknown,[Warn. khula 'chief' +sar,,Unknown,"Opgenort 2004, p.700",False,True,digital
f8fca3e5-2fe6-4831-abe9-45ca6886a944,bestowed,bestowed,upon,the chieftain. Cf. ri,,Unknown,"Opgenort 2004, p.700",False,True,digital
9be868d7-11bd-46b1-a1f9-551f9b29e410,khumca,khumca,unknown,n,,Unknown,"Opgenort 2004, p.700",False,True,digital
13b3b9fb-5875-4079-906b-100b130694df,fuzr,fuzr,unknown,"fr siranI, ~ takiya. Lit. ~",,Unknown,"Opgenort 2004, p.700",False,True,digital
4adac605-203b-458f-965d-46eb90beb7ed,khunimo,khunimo,unknown,"khunim n smoke, visible v",,Unknown,"Opgenort 2004, p.700",False,True,digital
3e872c9f-87b7-45d6-9da7-5a7ca5a21c23,stance,stance,unknown,Nep. Clerf dhuva. Lit. ~R+,,Unknown,"Opgenort 2004, p.700",False,True,digital
91a60d6f-8540-4682-8866-280f95f5ba57,to,to,give,off smoke,,Unknown,"Opgenort 2004, p.700",False,True,digital
de1c4279-82e9-4c52-bde2-a08ccb16c9f4,khup,khup,unknown,inten,,Unknown,"Opgenort 2004, p.700",False,True,digital
477c50f6-ba7e-40ad-a914-e4981a0131f7,khupcam,khupcam,unknown,vt-3a <khupt ~ khum> a to,,Unknown,"Opgenort 2004, p.700",False,True,digital
882d0fc7-aa1c-4e99-ad2d-18e57861291d,into,into,a,"fold or cage. Nep. ""I'S~ batu",,Unknown,"Opgenort 2004, p.700",False,True,digital
ff71cf43-93c1-42a5-a523-e320e90bf6ea,sametnu,sametnu,unknown,~~' ~ anf~·~ '@TZ+:fT,,Unknown,"Opgenort 2004, p.700",False,True,digital
deb31fe2-3f71-47fd-9884-30ffa9090f37,ma,ma,hulnu,Lit. 22 ~ khupcam,,Unknown,"Opgenort 2004, p.700",False,True,digital
8650a40c-404b-4c64-b47a-02aa317fff09,khursani,khursani,unknown,khursan [<Nep. ~~frfr khu,,Unknown,"Opgenort 2004, p.700",False,True,digital
c18dac1b-6481-4b12-ad60-2cb312a408f4,chilli,chilli,unknown,pepper. Lit. 3 ~ khursan,,Unknown,"Opgenort 2004, p.700",False,True,digital
7a533f4c-2bdc-46b6-a67a-8d85f466f3e6,IX,ix,unknown,TWO,,Unknown,"Opgenort 2004, p.700",False,True,digital
d07a10d5-6a86-44bf-a035-26170e8cfc44,Nep,nep,unknown,CfT~T kalo. Lit. 22 ~-:;;:-:;;:m+:r I 3,,Unknown,"Opgenort 2004, p.700",False,True,digital
4ab87260-b461-4c8c-a1f0-ef0ed6a7b579,arn,arn,unknown,khuccyam 'black'+ sama 'god,,Unknown,"Opgenort 2004, p.700",False,True,digital
56b8b98d-2942-45b0-9fb0-5157f88b1005,il,il,unknown,"Wambule deity, also known as",,Unknown,"Opgenort 2004, p.700",False,True,digital
125a2000-7bb1-49ca-bfc8-b6e07bc482cd,meat,meat,of,a goat and chicken has to be,,Unknown,"Opgenort 2004, p.700",False,True,digital
7d688371-2d19-4949-9bb1-8cdc7e532400,Lit,lit,unknown,"22 ~ khuce, 22 ~ khu<j",,Unknown,"Opgenort 2004, p.700",False,True,digital
67af1790-9529-4096-a4f1-734e2a2ca333,uq,uq,unknown,'black'] n cmp emph extremely,,Unknown,"Opgenort 2004, p.700",False,True,digital
2de72f76-f6d7-4d11-bb67-a8ad0b467df0,alo,alo,unknown,~ ~ nikkhar kalo. Lit,,Unknown,"Opgenort 2004, p.700",False,True,digital
842e9c4d-6385-4230-b3ea-24c637d39d51,ugar,ugar,unknown,"cane, honey. Lit. 22 ~ khuef,o",,Unknown,"Opgenort 2004, p.700",False,True,digital
d1043912-e7a1-44b8-9707-513d3f6b3184,adv,adv,cmp,incessantly. Nep. C1'ITTITT',,Unknown,"Opgenort 2004, p.700",False,True,digital
68213518-a231-43f8-aced-29749674637d,nine,nine,unknown,·me] n female thief. Nep. ~,,Unknown,"Opgenort 2004, p.700",False,True,digital
1c343a6f-74ff-4c96-89c9-4cc864dc10e3,culine,culine,unknown,·wa] n male thief. Nep. ~,,Unknown,"Opgenort 2004, p.700",False,True,digital
0625617e-5239-4c29-8d17-2022ed5fabec,chieftain,chieftain,unknown,"Nep. zr""t l!'lS<f 11rrtr RaI",,Unknown,"Opgenort 2004, p.700",False,True,digital
8b56d554-1046-473c-bade-22614be88833,ipsi,ipsi,unknown,'chief'; swamdi speech] vrb n,,Unknown,"Opgenort 2004, p.700",False,True,digital
72cb3c4e-b962-4f66-ab20-759de8fd3968,ri,ri,unknown,"'respect, honour'] n cmp homage",,Unknown,"Opgenort 2004, p.700",False,True,digital
3b0237b8-ad03-48b5-ba5f-d00828854302,pillow,pillow,unknown,"cushion, head of bed. Nep",,Unknown,"Opgenort 2004, p.700",False,True,digital
7e5e73cb-f1de-4c40-b04f-77f7cd0017a6,vapour,vapour,given,off by a burning sub,,Unknown,"Opgenort 2004, p.700",False,True,digital
8eebc27e-97a9-47e6-b493-99a6eef9a255,ns,ns,unknown,"very, much, exceedingly",,Unknown,"Opgenort 2004, p.700",False,True,digital
f85fdbb8-0805-420b-a929-005bcc9d141b,ulnu,ulnu,unknown,"~ jamma gamu, ~",,Unknown,"Opgenort 2004, p.700",False,True,digital
3fb69ca7-52ae-44b3-9921-87c331d6c682,ursanI,ursani,unknown,@ajrfr khorsanI] n pepper,,Unknown,"Opgenort 2004, p.700",False,True,digital
2fbd4678-de63-420a-9db4-2d2f88f95bfa,Jean,jean,unknown,Robert Opgenort - 978-90-47-41413-1,,Unknown,"Opgenort 2004, p.700",False,True,digital
8ea488fb-756e-42c0-a0fb-74bf43b34830,Downloaded,downloaded,from,Brill.com05/01/2023 08:55:16AM,,Unknown,"Opgenort 2004, p.700",False,True,digital
f61904e9-5895-4d32-a953-259441e13891,via,via,unknown,Western University,,Unknown,"Opgenort 2004, p.700",False,True,digital
83176e14-78be-4611-acf0-e4b5293c44bc,khus,khus,noun,theft. Nep. Tf~~ corI g,,Unknown,"Opgenort 2004, p.701",False,True,digital
f964c6cb-365b-4ca7-869f-f7e8cda3a62e,pacam,pacam,unknown,vt-2a to steal. khus pwaco,,Unknown,"Opgenort 2004, p.701",False,True,digital
0d7b81e5-5a7f-4672-94da-19ef96e20fd6,khusi,khusi,unknown,,,Unknown,"Opgenort 2004, p.701",False,True,digital
b87ef1c6-9bfc-49c7-a6fd-b9b4861c5344,khusima,khusima,unknown,khusim [<Warn. feminin,,Unknown,"Opgenort 2004, p.701",False,True,digital
bfc4ee92-be9d-496b-92eb-6f62c64a20ed,Nep,nep,unknown,~ biq. Lit. 22 ~ khus'lm,,Unknown,"Opgenort 2004, p.701",False,True,digital
0dd02565-0631-4407-ae27-f69359ef4025,khuskAi,khuskai,unknown,n,,Unknown,"Opgenort 2004, p.701",False,True,digital
895af958-08d6-4b27-8a43-565e2dfd6ba5,kai,kai,unknown,khuskAi dumcam vi-le to b,,Unknown,"Opgenort 2004, p.701",False,True,digital
6ce5a42f-042b-4c74-8748-8f08c9d28cbd,Nep,nep,unknown,~f<F'! khuskanu. Lit. 22 ~f,,Unknown,"Opgenort 2004, p.701",False,True,digital
c9d9c9a8-78c5-4bc2-a08a-f05d51d5632f,khus-pasak-biha,khus-pasak-biha,unknown,[Warn. khus 'thef,,Unknown,"Opgenort 2004, p.701",False,True,digital
dd62a8e1-ad65-4c50-b69f-61bb15ee042e,done',done',unknown,+ Nep. ~ biha 'marriage,,Unknown,"Opgenort 2004, p.701",False,True,digital
5df30f23-c164-4529-af48-1001c309b26c,ally,ally,a,boy and girl agree to elope,,Unknown,"Opgenort 2004, p.701",False,True,digital
039f239a-390c-44c7-9f30-221a2a44099e,festivals,festivals,or,markets. Nep. ~t f,,Unknown,"Opgenort 2004, p.701",False,True,digital
e4ea34a8-5928-45a3-a897-c29cdd001f8e,cumtirl,cumtirl,unknown,Cf. phwaiti-phuri-biha,,Unknown,"Opgenort 2004, p.701",False,True,digital
70d39a38-3ca3-40c1-98ce-3dda370a3064,khus-twaksi,khus-twaksi,unknown,[Warn. khus 'theft'+,,Unknown,"Opgenort 2004, p.701",False,True,digital
3ccfeb16-03f1-4854-8b04-98d77fa417e5,cmp,cmp,theft,Nep. ~ corI,,Unknown,"Opgenort 2004, p.701",False,True,digital
21f775be-8c56-44dd-abdf-75e61394bf10,khutta,khutta,unknown,n leg (of,,Unknown,"Opgenort 2004, p.701",False,True,digital
e209a256-d39a-4096-9603-cba03dd3d1fc,khu,khu,unknown,:cam 1 i vt-1 b <khu:( s} > to strap,,Unknown,"Opgenort 2004, p.701",False,True,digital
62c56a8c-c379-4630-91ad-38d15e2c78a6,an,an,unknown,"armour), put up (e.g. an umbr",,Unknown,"Opgenort 2004, p.701",False,True,digital
b5e098e9-b0b1-4d30-830e-437b61aa3d25,to,to,be,or get strapped on. Nep,,Unknown,"Opgenort 2004, p.701",False,True,digital
f8dfd6c3-944a-4c24-9f6d-ebe65b759377,'Cfn,'cfn,unknown,:r khu:ciim. Cf. khuccam2•,,Unknown,"Opgenort 2004, p.701",False,True,digital
d4648474-05b9-4513-80a9-a2712915226e,khu,khu,unknown,:cam2 vt-1 b <khu:(s}> to growl,,Unknown,"Opgenort 2004, p.701",False,True,digital
bed2cc73-3d5b-4766-8767-ba873d206f64,disgusted,disgusted,or,troubled by somethi,,Unknown,"Opgenort 2004, p.701",False,True,digital
e0df5846-f89d-45ec-8e26-4471f80f0ab9,pet,pet,tamma,"hunu, ~ ~~ CflcFC",,Unknown,"Opgenort 2004, p.701",False,True,digital
0c942a28-e16f-42a0-b311-a29ae845e43f,ka,ka,unknown,hunu,,Unknown,"Opgenort 2004, p.701",False,True,digital
d883f677-736d-4f82-9aff-7ccb72048daa,khwaicam,khwaicam,unknown,1 vm-d <khway·> to follo,,Unknown,"Opgenort 2004, p.701",False,True,digital
a63fcfb7-3cc1-4981-a098-faaca21bf7c9,pachi,pachi,unknown,"lagnu, ~ pachaunu. Li",,Unknown,"Opgenort 2004, p.701",False,True,digital
81b9f03d-359a-4776-a7d8-9eb126bcb4f4,khwaicam,khwaicam,unknown,2 vm-d <khway·> to be o,,Unknown,"Opgenort 2004, p.701",False,True,digital
f4cbfe82-2b66-42b0-81be-3870578ccfd1,sambhog,sambhog,unknown,"garinu, -ti""~~ maith",,Unknown,"Opgenort 2004, p.701",False,True,digital
3bbe788d-9c7c-4431-9e6d-a693fa46f700,Cf,cf,unknown,khviicciim,,Unknown,"Opgenort 2004, p.701",False,True,digital
08761262-0c55-45fa-beb7-172ad375b234,khwaima,khwaima,unknown,7n pursuit. Cf. khwaicam 1,,Unknown,"Opgenort 2004, p.701",False,True,digital
b93221ff-43db-4386-84a9-500638203021,khwakcam,khwakcam,unknown,vt-3c <khwah ~ kho·>,,Unknown,"Opgenort 2004, p.701",False,True,digital
16bf1716-e2c6-46e6-a624-c14560915086,khwal,khwal,quant,"an amount of, used in",,Unknown,"Opgenort 2004, p.701",False,True,digital
be4098c7-a2dc-4824-b391-e48e194cf8b9,im,im,unknown,"=se 'like that', amsi 'few', bttq",,Unknown,"Opgenort 2004, p.701",False,True,digital
7a47a0d4-c360-4b75-a3a6-3f3327a082dc,NGLISH,nglish,unknown,LEXICON 655,,Unknown,"Opgenort 2004, p.701",False,True,digital
4f733900-f30e-45f6-aa43-5592f94efbcb,garai,garai,unknown,~ corI. Lit. 22 ~~ khus. khus,,Unknown,"Opgenort 2004, p.701",False,True,digital
4a8d8593-a411-4059-863b-9f6877dd4f6b,ne,ne,unknown,·ma ~ ·m] n handle,,Unknown,"Opgenort 2004, p.701",False,True,digital
c373eeb8-dd3a-4bf2-962c-ec24ad1aaa4d,mo,mo,unknown,22 ~ khusim,,Unknown,"Opgenort 2004, p.701",False,True,digital
5c103201-208d-46a6-8d21-19ebef71be34,loosening,loosening,unknown,escape. Lit. 22 ~ khus,,Unknown,"Opgenort 2004, p.701",False,True,digital
f389eec6-220d-4431-94b5-f42da1b78f99,be,be,unknown,"loosened, slip out, escape, fall off",,Unknown,"Opgenort 2004, p.701",False,True,digital
952de4b7-072f-4251-b6b7-f948e49e2bc5,fcl,fcl,unknown,~~n:r khuskaidumciim. Cf. byal,,Unknown,"Opgenort 2004, p.701",False,True,digital
886d91e6-d44e-4ca0-8ed6-d023e1af3fac,ft',ft',unknown,+ pa·sa·k 'having,,Unknown,"Opgenort 2004, p.701",False,True,digital
93222032-1642-4469-a120-d59bf326cb1a,e',e',unknown,"] n cmp marriage by theft, but usu",,Unknown,"Opgenort 2004, p.701",False,True,digital
f497b7e2-c45d-4ce0-ac1b-f94d18ff9292,fcr,fcr,unknown,·~T corI biha. Also known as~~,,Unknown,"Opgenort 2004, p.701",False,True,digital
27fd9db8-db31-4167-b29f-ca6e4c36990b,twaksi,twaksi,unknown,'let drop'; swamdi speech] n,,Unknown,"Opgenort 2004, p.701",False,True,digital
11865d9c-047d-47e3-9c92-5634ea54a876,rella,rella,unknown,). ii vm-b <khu:.> a to strap on. b,,Unknown,"Opgenort 2004, p.701",False,True,digital
e2b318b1-69e9-4640-b515-1c7c1edbcc77,bhimu,bhimu,unknown,~ oqhaunu. Lit. 22 ~s­,,Unknown,"Opgenort 2004, p.701",False,True,digital
a2b72032-72ef-4da2-973a-e7ab79ed9579,ing,ing,unknown,"Nep. ~ aghaunu, ~ ci=+:r ~",,Unknown,"Opgenort 2004, p.701",False,True,digital
9431cfbb-fdde-40d9-893a-38a3fdff594c,Cfl,cfl,unknown,~ ~ kunai kurobata vakka dik,,Unknown,"Opgenort 2004, p.701",False,True,digital
db34bef0-5ad3-41c0-a169-d65cdd31b12c,ow,ow,unknown,"go after, go later. Nep. 11fu ~",,Unknown,"Opgenort 2004, p.701",False,True,digital
f28a31d8-1832-4695-99b5-203a00e165f5,it,it,unknown,"22 Ml~""'lll'i khviiiciim",,Unknown,"Opgenort 2004, p.701",False,True,digital
c17c0c03-1a64-4149-ac0d-62b6dd17ef1a,hun,hun,unknown,garinu. Lit. 22 l.9Cll~'611l1 khviiiciim,,Unknown,"Opgenort 2004, p.701",False,True,digital
c9eb3062-f11e-4dc7-bd74-4919ec302d45,to,to,unknown,"cook, boil . Nep",,Unknown,"Opgenort 2004, p.701",False,True,digital
ed826df9-4a46-437b-8f92-1acefff07189,hvakciim,hvakciim,unknown,Cf. khocam,,Unknown,"Opgenort 2004, p.701",False,True,digital
62bbc238-4430-4142-943c-6ebd9569b696,combinations,combinations,with,am=se 'like this',,Unknown,"Opgenort 2004, p.701",False,True,digital
fbbf93f5-dd6d-4773-ad01-68e86330c3bb,qe,qe,unknown,"'more', etc. Lit. 22 ~ khviil",,Unknown,"Opgenort 2004, p.701",False,True,digital
9762561c-3042-4583-8aad-67d81f415e85,Jean,jean,unknown,Robert Opgenort - 978-90-47-41413-1,,Unknown,"Opgenort 2004, p.701",False,True,digital
93b62fa8-1f14-444b-a85e-7dabe4d3d7df,Downloaded,downloaded,from,Brill.com05/01/2023 08:55:16AM,,Unknown,"Opgenort 2004, p.701",False,True,digital
a54d9166-3748-4db1-9c6e-485fa1971d43,via,via,unknown,Western University,,Unknown,"Opgenort 2004, p.701",False,True,digital
60f7184a-cfaf-4c23-b084-b7d777c68b22,khwalAi,khwalai,unknown,kholAi [<Nep. ~ kholai,,Unknown,"Opgenort 2004, p.702",False,True,digital
eb12a802-0e12-4726-9b7c-d4432788370b,khwala,khwala,unknown,"n river, st",,Unknown,"Opgenort 2004, p.702",False,True,digital
c9b91828-e310-438e-bbc5-3000efa1cad1,khwalbo,khwalbo,unknown,vrb adj,,Unknown,"Opgenort 2004, p.702",False,True,digital
ad96fb4f-60be-47d9-a300-6d19ee544da9,eldest,eldest,unknown,"Nep. ~BT thulo, rci-~~ visal",,Unknown,"Opgenort 2004, p.702",False,True,digital
2515fae6-0990-4d07-bedb-9eedc1400d8b,vi-Jc,vi-jc,to,become big. Nep. ~BT~,,Unknown,"Opgenort 2004, p.702",False,True,digital
ee99d50d-3735-4076-b8aa-f7382e041f11,muyo,muyo,unknown,"'person'] n boss, master. kh",,Unknown,"Opgenort 2004, p.702",False,True,digital
5201d253-b5b8-48f4-9728-37ca9e46428e,raise,raise,unknown,someone. Nep. ~ thlilo,,Unknown,"Opgenort 2004, p.702",False,True,digital
ef094b13-31fa-4f62-9084-53a975a84904,khwalcam,khwalcam,unknown,vi-le <khwal-> to extend,,Unknown,"Opgenort 2004, p.702",False,True,digital
3f7be71f-77ef-4c61-82b8-191dd7cb9a62,cam,cam,unknown,bA<le khwalcam vi-le to be v,,Unknown,"Opgenort 2004, p.702",False,True,digital
764e4bd9-7cb2-4e0d-a316-7c458897657f,thulo,thulo,unknown,hunu,,Unknown,"Opgenort 2004, p.702",False,True,digital
45ac59c2-2ade-401c-bce5-205f3de8f737,khwale,khwale,unknown,n porridg,,Unknown,"Opgenort 2004, p.702",False,True,digital
19f742ef-9d79-40f9-a036-99f13ab81f10,bles,bles,with,rice and flour. Lit. 22 ~,,Unknown,"Opgenort 2004, p.702",False,True,digital
f49f67b8-af37-4d29-bd03-2aa66a6f4e41,khwalmo,khwalmo,unknown,n gra,,Unknown,"Opgenort 2004, p.702",False,True,digital
94b9f23f-4f9c-42bb-9f44-a6b43a278517,khwaIJ-khwak,khwaij-khwak,unknown,: n cmp grunt. khwaIJ-kh,,Unknown,"Opgenort 2004, p.702",False,True,digital
bac1cb53-85fe-44f1-acc1-7a363ac1f24b,khwarbwalak,khwarbwalak,unknown,":ci (<Warn. ·ci 'tree, w",,Unknown,"Opgenort 2004, p.702",False,True,digital
9c803079-0dee-4c15-ac72-f7794f1e76ef,Nep,nep,unknown,m:rR ~ asare rukh,,Unknown,"Opgenort 2004, p.702",False,True,digital
e1d74866-1bc9-4a2d-9d50-81bce1b8dfcf,khwarcam,khwarcam,unknown,vt-2e <khwar ~ khur·>,,Unknown,"Opgenort 2004, p.702",False,True,digital
871fa0bf-c596-4c81-ae35-abfdb072abf8,Nep,nep,unknown,"~ jotnu, ~ ~ halo",,Unknown,"Opgenort 2004, p.702",False,True,digital
000a4a93-84d9-47f8-934e-4b34de33d2a5,mul,mul,unknown,).qan gamu. Lit. 22 ~ khvar,,Unknown,"Opgenort 2004, p.702",False,True,digital
33e582ec-a25f-4d01-9e8d-b56a676ac2af,khwayaI,khwayai,unknown,Jga n cradle,,Unknown,"Opgenort 2004, p.702",False,True,digital
fac834ca-e99d-4c1c-abbb-7a8b6883e44c,khwayaI,khwayai,unknown,Jga-huywaJJga [Warn. khwaya,,Unknown,"Opgenort 2004, p.702",False,True,digital
49c9582a-11c5-47a1-925b-f3fee942c955,huywal,huywal,unknown,")ga, which is said to have th",,Unknown,"Opgenort 2004, p.702",False,True,digital
1dcdd65e-4e43-4589-bdf5-a561cc426ab2,so,so,unknown,kro,,Unknown,"Opgenort 2004, p.702",False,True,digital
4bd5c773-6a70-4bd5-a440-5ec10ebdd517,khyalcam,khyalcam,i,vt-3/ <khyalt- ~ khyal·> to,,Unknown,"Opgenort 2004, p.702",False,True,digital
4c61937f-8df0-481e-b227-d4dbf9fcc71c,oneself,oneself,unknown,b to be or get touched. N,,Unknown,"Opgenort 2004, p.702",False,True,digital
75924ffb-9b9c-4db4-812f-4d383066b337,MI,mi,unknown,"v""""l I +:t khyalcam. khyal pucam vm",,Unknown,"Opgenort 2004, p.702",False,True,digital
49bc1f9f-9e28-4048-a520-f35b748f2903,khyalpacij,khyalpacij,unknown,n m,,Unknown,"Opgenort 2004, p.702",False,True,digital
d18a8097-1088-400d-83d5-b4fc46922a57,IX,ix,unknown,TWO,,Unknown,"Opgenort 2004, p.702",False,True,digital
4e149701-e929-447d-bd75-d98cf0d77b2c,alaipacam,alaipacam,unknown,Cf. hwalcam,,Unknown,"Opgenort 2004, p.702",False,True,digital
167a76a8-3fd6-40d0-9067-c2cc643bab97,tream,tream,unknown,"Lit. 22 ""M""TC1T khvala",,Unknown,"Opgenort 2004, p.702",False,True,digital
bbbeeb4c-5249-44d5-a796-703232f13ef7,big,big,unknown,"large, great, wide, extensive",,Unknown,"Opgenort 2004, p.702",False,True,digital
dcadf8c4-d45c-4e4d-a9ce-86e35581ea8a,thulo,thulo,hunu,khwalbo muyo [Warn,,Unknown,"Opgenort 2004, p.702",False,True,digital
1dd0b0a3-0833-4610-a403-04a9dbe5acbd,hwalbo,hwalbo,pacam,vt-2a to make big,,Unknown,"Opgenort 2004, p.702",False,True,digital
0c3b4028-66bf-4d2a-b7e7-8a29f404cdb1,pamu,pamu,unknown,"ivlll\3'1, thlilyaunu",,Unknown,"Opgenort 2004, p.702",False,True,digital
c1058ae7-488a-451b-aae7-22e5951c4376,amount,amount,to,Nep. ~BT err~ 31fCl3T{,,Unknown,"Opgenort 2004, p.702",False,True,digital
fe065f03-7279-47c1-a331-789cdb95b6c3,naune,naune,fabda,"Lit. 22 l2CfT~""""""l""T+:f khval",,Unknown,"Opgenort 2004, p.702",False,True,digital
97eea496-c79c-4909-8875-43985079b083,very,very,unknown,"big, be very large. Nep. ~ ~",,Unknown,"Opgenort 2004, p.702",False,True,digital
278d04a1-64c9-4a6b-9d97-0a7c7d47778b,ge,ge,unknown,coarse soup made from vegeta,,Unknown,"Opgenort 2004, p.702",False,True,digital
770af434-8ca4-4c23-928a-63ebfee25a1d,anary,anary,used,for storing maize). Lit,,Unknown,"Opgenort 2004, p.702",False,True,digital
5f3db7ef-8d42-441b-8504-34ef615e828e,hwak,hwak,unknown,: pacam vt-2a to grunt,,Unknown,"Opgenort 2004, p.702",False,True,digital
825595d9-dd81-42da-ab09-3ebfa67440e9,wood',wood',unknown,] n a particular kind of tree,,Unknown,"Opgenort 2004, p.702",False,True,digital
489d7115-e206-4a2a-81c8-99e85c13e94b,calaunu,calaunu,unknown,"~ khauranu, +J:~",,Unknown,"Opgenort 2004, p.702",False,True,digital
b5ff47f5-c991-4368-8b76-4b1623fadf2e,al,al,unknown,)ga 'cradle'+ the rhyming word,,Unknown,"Opgenort 2004, p.702",False,True,digital
a3bb66ca-f576-499b-8ff3-1575943261a5,he,he,same,meaning; swamdi speech],,Unknown,"Opgenort 2004, p.702",False,True,digital
4fd7c78e-b2a3-41d2-b9e2-5fb7e0afe0f7,Nep,nep,unknown,"~""! chunu, ~ choinu. Lit. 22",,Unknown,"Opgenort 2004, p.702",False,True,digital
3baf78ac-be75-4b39-a242-6984ec8172a0,m-a,m-a,to,touch each other,,Unknown,"Opgenort 2004, p.702",False,True,digital
b5cf5d7d-d5a6-488c-9d29-7bf935b5fc0a,mark,mark,unknown,sign. Nep. ~<lag,,Unknown,"Opgenort 2004, p.702",False,True,digital
1eac2963-03b0-4ff7-9c99-18101f5b7808,Jean,jean,unknown,Robert Opgenort - 978-90-47-41413-1,,Unknown,"Opgenort 2004, p.702",False,True,digital
6abea914-ff1b-411f-aab0-52878cc80f19,Downloaded,downloaded,from,Brill.com05/01/2023 08:55:16AM,,Unknown,"Opgenort 2004, p.702",False,True,digital
4fc65549-74c4-4fc9-8e8c-c382e5107579,via,via,unknown,Western University,,Unknown,"Opgenort 2004, p.702",False,True,digital
a8af2a11-a1d1-4bcd-9aef-9c0046124da8,IA,ia,unknown,"n all right, okay, fin",,Unknown,"Opgenort 2004, p.703",False,True,digital
63d5529a-ba6c-4a96-b8ee-76848aef5adb,lAgAID,lagaid,unknown,n reins,,Unknown,"Opgenort 2004, p.703",False,True,digital
59add019-46e4-481f-a785-f762a679d449,lAntha,lantha,unknown,n a eng,,Unknown,"Opgenort 2004, p.703",False,True,digital
3cd0ff75-4220-40b0-9f2c-1bee5f3f7afe,lAu,lau,unknown,"interj oh no, all",,Unknown,"Opgenort 2004, p.703",False,True,digital
4e2f911c-bf68-4a45-a931-52cea286f84d,lAura,laura,unknown,[<Nep. ~ lauro; Wamdyal d,,Unknown,"Opgenort 2004, p.703",False,True,digital
f97fd995-6822-409a-9247-d7f8244e3587,lAwAi,lawai,unknown,n applica,,Unknown,"Opgenort 2004, p.703",False,True,digital
f9df3d08-479e-4620-b2e1-99f45a9532fd,ting,ting,unknown,"up, implantation. Lit. ~T~",,Unknown,"Opgenort 2004, p.703",False,True,digital
